accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.0375,0.0375,0.685,0.0,0.2999526515151515,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.3
0.01,0.01,0.7125,0.0,0.4815340909090909,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.5
0.01,0.01,0.7125,0.0,0.6787405303030303,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.7
0.01,0.01,0.7125,0.0,0.7762784090909091,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.8
0.01,0.01,0.7125,0.0,0.8709753787878788,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.9
0.7182,0.7182,0.0043000000000000815,0.0,0.09990530303030302,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.1
0.0295,0.0295,0.6930000000000001,0.0,0.2961647727272727,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.3
0.01,0.01,0.7125,0.0,0.4817708333333333,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.5
0.01,0.01,0.7125,0.0,0.6801609848484849,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.7
0.01,0.01,0.7125,0.0,0.7765151515151515,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.8
0.01,0.01,0.7125,0.0,0.875,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.9
