run_dir,layer_name,n_channels,n_patches,cos_mean,cos_std,abs_cos_mean,cos_p25,cos_p50,cos_p75,sigma_norm_mean,g_t_norm_mean
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer2.0.conv2,128,131072,-0.01286862138658762,0.13077861070632935,0.10611426085233688,-0.09860722720623016,-0.02116928994655609,0.0825207531452179,0.03620465472340584,0.03714854270219803
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer2.0.downsample.0,128,131072,-0.043832749128341675,0.13309180736541748,0.10848626494407654,-0.11922413110733032,-0.03853357583284378,0.03522307798266411,0.010084068402647972,0.01598004437983036
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer2.1.conv1,128,131072,-0.027739249169826508,0.1274946630001068,0.10043921321630478,-0.09778231382369995,-0.02498721331357956,0.04152645543217659,0.0861181914806366,0.08352939039468765
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer2.1.conv2,128,131072,0.051825594156980515,0.09231216460466385,0.0846620574593544,-0.01261874008923769,0.049460262060165405,0.1139238029718399,0.009363990277051926,0.0223833117634058
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer3.0.conv1,256,131072,0.020205434411764145,0.13635361194610596,0.11259888112545013,-0.06484091281890869,0.01668383926153183,0.12554709613323212,0.1048474833369255,0.08217422664165497
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer3.0.conv2,256,131072,-0.01303279772400856,0.1354549527168274,0.11146281659603119,-0.11212621629238129,-0.027148546651005745,0.08363015949726105,0.03635953366756439,0.06541848182678223
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer3.0.downsample.0,256,131072,-0.0038453638553619385,0.1669938564300537,0.13823527097702026,-0.14211173355579376,-0.0023719663731753826,0.12115014344453812,0.014526888728141785,0.030281106010079384
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer3.1.conv1,256,131072,-0.03511055186390877,0.08320119231939316,0.07240206003189087,-0.08925900608301163,-0.04522700607776642,0.01715656742453575,0.06987589597702026,0.12056130915880203
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer3.1.conv2,256,131072,0.00042126496555283666,0.06045150384306908,0.04766038805246353,-0.041549935936927795,0.0021710433065891266,0.03364473208785057,0.004973276052623987,0.02784247137606144
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer4.0.conv1,512,32768,0.014670389704406261,0.07507224380970001,0.06152615696191788,-0.034769974648952484,0.018279343843460083,0.06833228468894958,0.062352024018764496,0.125270277261734
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer4.0.conv2,512,32768,-0.05013139918446541,0.08532486855983734,0.08366739004850388,-0.1152603030204773,-0.06173136830329895,0.011674441397190094,0.011483765207231045,0.0799872875213623
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer4.0.downsample.0,512,32768,0.014893991872668266,0.09103839844465256,0.07606887817382812,-0.05587863549590111,0.01788267493247986,0.08136706799268723,0.010541236959397793,0.04702441766858101
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer4.1.conv1,512,32768,-0.15619590878486633,0.053257908672094345,0.1564391553401947,-0.19061824679374695,-0.15648490190505981,-0.12095925211906433,0.028796793892979622,0.14266431331634521
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer4.1.conv2,512,32768,0.036814022809267044,0.06070698797702789,0.058908917009830475,-0.008922334760427475,0.0385904423892498,0.08519431948661804,0.0020314317662268877,0.08770167827606201
